step,tokens_B_from_draft,GDN,MixerLoop,FullLoop
1,0.000131072,10.409219741821289,10.409294128417969,10.881979942321777
20,0.00262144,10.348523139953613,10.328802108764648,10.871479988098145
40,0.00524288,10.230384826660156,10.192987442016602,10.84006404876709
60,0.00786432,10.07343578338623,10.033016204833984,10.789093017578125
80,0.01048576,9.815502166748047,9.780797004699707,10.707987785339355
100,0.0131072,9.389588356018066,9.362281799316406,10.547038078308105
120,0.01572864,9.043708801269531,9.017831802368164,10.064538955688477
140,0.01835008,8.685002326965332,8.654716491699219,9.360821723937988
160,0.02097152,8.306962013244629,8.272350311279297,8.93185806274414
180,0.02359296,7.936384677886963,7.906764507293701,8.546708106994629
200,0.0262144,7.555515289306641,7.524972915649414,8.134027481079102
220,0.02883584,7.2591094970703125,7.22932243347168,7.800562858581543
240,0.03145728,6.98043155670166,6.939695358276367,7.5556488037109375
260,0.03407872,6.7876458168029785,6.747610092163086,7.414995193481445
280,0.03670016,6.550502300262451,6.507368087768555,7.244119167327881
300,0.0393216,6.389347553253174,6.349752426147461,7.123390197753906
320,0.04194304,6.179069519042969,6.1382622718811035,6.981778144836426
340,0.04456448,6.088738441467285,6.051946640014648,6.910515785217285
360,0.04718592,6.014603614807129,5.981236457824707,6.8623366355896
380,0.04980736,5.8447370529174805,5.8101983070373535,6.686817169189453
400,0.0524288,5.771290302276611,5.7406158447265625,6.5660200119018555
420,0.05505024,5.713990688323975,5.681213855743408,6.499448299407959
440,0.05767168,5.60846471786499,5.5748114585876465,6.339630126953125
460,0.06029312,5.5800299644470215,5.546654224395752,6.271407604217529
480,0.06291456,5.524257183074951,5.489496231079102,6.176325798034668
500,0.065536,5.471006870269775,5.435567855834961,6.091010570526123
520,0.06815744,5.398860931396484,5.366324424743652,5.972156524658203
540,0.07077888,5.352043151855469,5.319391250610352,5.9123945236206055
560,0.07340032,5.281883239746094,5.249231815338135,5.819705009460449
580,0.07602176,5.238080978393555,5.201492786407471,5.737660884857178
600,0.0786432,5.182616710662842,5.144877910614014,5.668995380401611
620,0.08126464,5.184630870819092,5.150149345397949,5.637643814086914
640,0.08388608,5.030449867248535,4.9935126304626465,5.4798407554626465
660,0.08650752,5.076611518859863,5.0435919761657715,5.507813453674316
680,0.08912896,5.078092575073242,5.044843673706055,5.480776786804199
700,0.0917504,4.950399875640869,4.914987564086914,5.360647678375244
720,0.09437184,4.964241027832031,4.929250717163086,5.368677139282227
740,0.09699328,4.911935806274414,4.882979869842529,5.3115434646606445
760,0.09961472,4.92331600189209,4.89525842666626,5.314430236816406
780,0.10223616,4.79040002822876,4.758126735687256,5.181540489196777
800,0.1048576,4.786401748657227,4.758572578430176,5.165639877319336
820,0.10747904,4.787603855133057,4.761051654815674,5.177759170532227
840,0.11010048,4.748348236083984,4.718715190887451,5.134787559509277
860,0.11272192,4.739780426025391,4.712364196777344,5.132258892059326
880,0.11534336,4.6097822189331055,4.581374168395996,4.991382122039795
900,0.1179648,4.675187110900879,4.651768684387207,5.058862686157227
920,0.12058624,4.683682441711426,4.655299663543701,5.08034610748291
940,0.12320768,4.630255699157715,4.606493949890137,5.01090145111084
960,0.12582912,4.557486534118652,4.531896591186523,4.9499053955078125
980,0.12845056,4.539916515350342,4.517995834350586,4.929609775543213
1000,0.131072,4.538322448730469,4.5117878913879395,4.924511909484863
1020,0.13369344,4.522902011871338,4.499014377593994,4.9001054763793945
1040,0.13631488,4.52189826965332,4.504144668579102,4.90498161315918
1060,0.13893632,4.4879560470581055,4.4696197509765625,4.90010929107666
1080,0.14155776,4.502553939819336,4.485568046569824,4.9010491371154785
1100,0.1441792,4.358969211578369,4.33666467666626,4.750930309295654
1120,0.14680064,4.436580657958984,4.417620658874512,4.823755741119385
1140,0.14942208,4.313376426696777,4.293979167938232,4.7033233642578125
1160,0.15204352,4.369479656219482,4.3556413650512695,4.76558256149292
1180,0.15466496,4.415563106536865,4.403972625732422,4.8190016746521
1200,0.1572864,4.277479648590088,4.269227027893066,4.688803195953369
1220,0.15990784,4.258331298828125,4.24605655670166,4.667238235473633
1240,0.16252928,4.36857271194458,4.356557846069336,4.797610759735107
1260,0.16515072,4.284610271453857,4.273612976074219,4.706258773803711
1280,0.16777216,4.212564468383789,4.199311256408691,4.633637428283691
1300,0.1703936,4.282763481140137,4.265363693237305,4.701367378234863
1320,0.17301504,4.198539733886719,4.191539287567139,4.6602559089660645
