pair,role,position,form,split,operation,baseline,windows,token_rows,delta_entropy_effective_rank
100m/climbmix-10B-s1337,mid,attention_post,centered,pooled_fit_and_validation,mixerloop_loop4,mixerloop_loop1,1024,490496,2.385300437427645
100m/climbmix-10B-s1337,mid,ffn_input,centered,pooled_fit_and_validation,mixerloop_loop4,mixerloop_loop1,1024,490496,3.0380737769080497
100m/climbmix-10B-s1337,mid,block_post,centered,pooled_fit_and_validation,mixerloop_loop4,mixerloop_loop1,1024,490496,6.245608900101388
100m/climbmix-10B-s1337,end,attention_post,centered,pooled_fit_and_validation,mixerloop_loop4,mixerloop_loop1,1024,490496,-16.054501572732192
100m/climbmix-10B-s1337,end,ffn_input,centered,pooled_fit_and_validation,mixerloop_loop4,mixerloop_loop1,1024,490496,-3.9442678671409794
100m/climbmix-10B-s1337,end,block_post,centered,pooled_fit_and_validation,mixerloop_loop4,mixerloop_loop1,1024,490496,14.487332990317668
13m/climbmix-10B-s1337,mid,attention_post,centered,pooled_fit_and_validation,mixerloop_loop4,mixerloop_loop1,1024,490496,0.7737458442440754
13m/climbmix-10B-s1337,mid,ffn_input,centered,pooled_fit_and_validation,mixerloop_loop4,mixerloop_loop1,1024,490496,2.695562114101193
13m/climbmix-10B-s1337,mid,block_post,centered,pooled_fit_and_validation,mixerloop_loop4,mixerloop_loop1,1024,490496,4.957357982561973
13m/climbmix-10B-s1337,end,attention_post,centered,pooled_fit_and_validation,mixerloop_loop4,mixerloop_loop1,1024,490496,-10.36722805093737
13m/climbmix-10B-s1337,end,ffn_input,centered,pooled_fit_and_validation,mixerloop_loop4,mixerloop_loop1,1024,490496,-4.298539687812905
13m/climbmix-10B-s1337,end,block_post,centered,pooled_fit_and_validation,mixerloop_loop4,mixerloop_loop1,1024,490496,2.385803062509382
13m/climbmix-10B-s2026,mid,attention_post,centered,pooled_fit_and_validation,mixerloop_loop4,mixerloop_loop1,1024,490496,-0.3825509700717191
13m/climbmix-10B-s2026,mid,ffn_input,centered,pooled_fit_and_validation,mixerloop_loop4,mixerloop_loop1,1024,490496,1.9106218564065784
13m/climbmix-10B-s2026,mid,block_post,centered,pooled_fit_and_validation,mixerloop_loop4,mixerloop_loop1,1024,490496,3.5673639769094336
13m/climbmix-10B-s2026,end,attention_post,centered,pooled_fit_and_validation,mixerloop_loop4,mixerloop_loop1,1024,490496,-7.420625212266231
13m/climbmix-10B-s2026,end,ffn_input,centered,pooled_fit_and_validation,mixerloop_loop4,mixerloop_loop1,1024,490496,-1.8019193098478752
13m/climbmix-10B-s2026,end,block_post,centered,pooled_fit_and_validation,mixerloop_loop4,mixerloop_loop1,1024,490496,8.40713347704829
13m/climbmix-10B-s42,mid,attention_post,centered,pooled_fit_and_validation,mixerloop_loop4,mixerloop_loop1,1024,490496,0.18946083072836473
13m/climbmix-10B-s42,mid,ffn_input,centered,pooled_fit_and_validation,mixerloop_loop4,mixerloop_loop1,1024,490496,2.3513255205272685
13m/climbmix-10B-s42,mid,block_post,centered,pooled_fit_and_validation,mixerloop_loop4,mixerloop_loop1,1024,490496,4.962498996049504
13m/climbmix-10B-s42,end,attention_post,centered,pooled_fit_and_validation,mixerloop_loop4,mixerloop_loop1,1024,490496,-8.735812495357322
13m/climbmix-10B-s42,end,ffn_input,centered,pooled_fit_and_validation,mixerloop_loop4,mixerloop_loop1,1024,490496,-2.474073533342306
13m/climbmix-10B-s42,end,block_post,centered,pooled_fit_and_validation,mixerloop_loop4,mixerloop_loop1,1024,490496,7.853345306552171
